cveId,assignerShortName,dateReserved,datePublished,dateUpdated,"version",baseSeverity,baseScore,vectorString
2023-0001,palo_alto,2022-10-27T18:47:48.958Z,2023-02-08T17:20:20.774Z,2023-11-21T18:25:00.000Z,7.9,MEDIUM,6,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:H
2023-0002,palo_alto,2022-10-27T18:48:11.588Z,2023-02-08T17:21:47.711Z,2023-02-08T17:21:47.711Z,7.9,MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H
2023-0003,palo_alto,2022-10-27T18:48:12.679Z,2023-02-08T17:22:07.660Z,2023-11-03T21:07:18,8.1,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N
2023-0004,palo_alto,2022-10-27T18:48:13.579Z,2023-04-12T16:41:02.556Z,2023-04-12T16:41:02.556Z,8.1,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H
2023-0005,palo_alto,2022-10-27T18:48:14.336Z,2023-04-12T16:41:21.342Z,2023-04-12T16:41:21.342Z,11.0,MEDIUM,4.1,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N
2023-0006,palo_alto,2022-10-27T18:48:15.159Z,2023-04-12T16:41:39.573Z,2023-04-14T19:41:29.587Z,6.0,MEDIUM,6.3,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:H
2023-0007,palo_alto,2022-10-27T18:48:16.758Z,2023-05-10T16:30:47.049Z,2023-05-10T16:30:47.049Z,10.0,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N
2023-0008,palo_alto,2022-10-27T18:48:17.776Z,2023-05-10T16:34:18.429Z,2023-05-11T17:18:58.787Z,8.1,MEDIUM,4.4,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N
2023-0009,palo_alto,2022-10-27T18:48:18.633Z,2023-06-14T16:31:58.622Z,2023-07-31T20:36:04.826Z,6.2,HIGH,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
2023-0010,palo_alto,2022-10-27T18:48:19.535Z,2023-06-14T16:31:35.543Z,2023-06-14T16:31:35.543Z,11.0,MEDIUM,5.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N
2023-0011,NCSC.ch,2022-12-12T14:57:23.749Z,2023-12-20T07:55:52.437Z,2023-12-20T07:55:52.437Z,TOBY-L200,HIGH,7.6,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
2023-0012,sap,2022-12-16T03:12:52.291Z,2023-01-10T02:44:38.047Z,2023-01-10T03:49:32.685Z,7.21,MEDIUM,6.4,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H
2023-0013,sap,2022-12-16T03:13:36.148Z,2023-01-10T02:50:52.294Z,2023-01-10T02:50:52.294Z,702,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
2023-0014,sap,2022-12-16T03:13:43.141Z,2023-01-10T03:02:39.962Z,2023-01-10T03:02:39.962Z,SAP_BASIS,CRITICAL,9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H
2023-0015,sap,2022-12-16T03:13:44.778Z,2023-01-10T03:05:47.922Z,2023-01-10T03:05:47.922Z,420,MEDIUM,4.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:N
2023-0016,sap,2022-12-16T03:13:55.421Z,2023-01-10T03:13:29.718Z,2023-01-10T03:13:29.718Z,800,CRITICAL,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
2023-0017,sap,2022-12-20T03:49:32.991Z,2023-01-10T03:18:57.927Z,2023-01-10T03:18:57.927Z,7.50,CRITICAL,9.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:L
2023-0018,sap,2022-12-20T03:49:38.129Z,2023-01-10T03:21:37.871Z,2023-01-10T03:21:37.871Z,420,CRITICAL,10,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
2023-0019,sap,2022-12-20T03:49:40.251Z,2023-02-14T03:06:56.391Z,2023-02-14T03:06:56.391Z,V1200,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N
